u_userID,u_firstName,u_lastName,u_email,u_phoneNumber,u_address,u_dateOfBirth,u_password
1,Nancy,Berger,angela59@example.com,+1-761-745-0110,"5489 Werner Trail Suite 032
Shannonland, DE 46210",1975-12-08,defaultpassword
2,Judith,Allen,johnnynelson@example.com,226.659.1296x95,"7683 Rodney Plaza
North Nicolestad, TX 35612",1965-11-20,defaultpassword
3,Brent,Maxwell,andrea09@example.com,(415)276-1293x6,"97465 Murphy Loaf
West Rogerberg, HI 52746",1971-01-25,defaultpassword
4,James,Johnson,lindaclark@example.com,617-413-4874,"028 Zachary Drives
Alimouth, FL 81734",1981-11-28,defaultpassword
5,Kimberly,Obrien,gwebb@example.org,5752436137,"03597 Patricia Via Suite 677
Lake Leahfort, DE 53514",1966-02-27,defaultpassword
6,Erika,Mckinney,timothyneal@example.org,332-954-5281x10,"USNV Thomas
FPO AE 84247",1971-02-26,defaultpassword
7,Reginald,Fleming,bradleynelson@example.org,381-552-9472x23,"90291 Chad Estates Suite 226
Harrisfort, OR 01727",1973-06-17,defaultpassword
8,Rodney,Buck,john70@example.com,(318)680-3253x2,"583 John Valleys
Lake Rebecca, MP 99374",1985-02-01,defaultpassword
9,Amy,Singh,megantucker@example.com,(457)981-1696x3,"73793 Watkins Fords Suite 590
Summersside, WY 30055",1989-08-26,defaultpassword
10,Tanner,Martinez,russelltiffany@example.org,(712)739-6537,"89803 Deborah Rapids
West Stephanie, AS 52682",1964-03-13,defaultpassword
11,Patrick,Winters,richard79@example.com,340.447.6617x94,"5398 Collins Shores Suite 920
South Nicholasport, DC 10124",1994-01-07,defaultpassword
12,Lisa,Johnson,obender@example.net,968.864.8268,"044 Amanda Parkway
Lake Lauraport, AK 84509",1974-07-02,defaultpassword
13,Mary,Harris,greenerichard@example.net,690-490-7430,"PSC 9934, Box 5476
APO AE 39509",1977-11-05,defaultpassword
14,Alicia,Jenkins,katiereynolds@example.net,001-413-297-692,"327 Walker Parks Suite 394
Elizabethchester, OR 14119",1952-04-28,defaultpassword
15,Robin,Frey,robert20@example.org,(415)885-8948,"18743 Smith Cape Apt. 027
Lake Lori, MN 71700",1969-08-13,defaultpassword
16,Martin,Richardson,wesleyfitzpatrick@example.org,+1-706-532-3789,"385 Kenneth Locks Apt. 250
Pamelaborough, GU 32935",1976-12-29,defaultpassword
17,Austin,Munoz,jason05@example.net,976-620-6947x50,"27012 Charles Cliff
Port Samuel, GA 65616",1979-08-10,defaultpassword
18,Cheryl,Lowe,mark64@example.org,396-373-3568x02,"04314 Bennett Lodge Apt. 621
Deleonbury, WI 03256",1965-01-02,defaultpassword
19,Angelica,Lopez,gregory65@example.net,+1-264-526-1358,"60909 Morrow Street
East Molly, VA 52542",1997-09-22,defaultpassword
